Narrative,summary
"unit 1 was traveling in lane 2 of eb president george bush turnpike (pgbt). unit 2 was traveling in lane 1 of eb pgbt. the driver of unit 1 stated that she was having issues with the lane assist function of the vehicle, causing unit 1 to constantly pulling to the left and right. the driver of unit 1 over corrected against the lane assist, causing unit 1 to fail to drive in a single lane, veering to the left into lane 1 where unit 2 was occupying. the front left area of unit 1 struck the rear right area of unit 2. unit 1 continued to veer to the left, striking the left cement barrier with the rear left area of unit 1. unit 1 came to rest in the left shoulder and lane of eb pgbt, facing east. unit 2 slowed coming to rest in the left shoulder of eb pgbt, facing east.","The root cause was a faulty Lane Assist function that caused Unit 1's vehicle to veer erratically between lanes, which led to the driver overcorrecting and losing control. The system failure resulted in the vehicle failing to stay within its lane markings."
"unit 1 was traveling west in the inside lane of the 600 blk of e loop 281. unit 2 was traveling west in the outside lane of the 600 blk of e loop 281. either unit 1 or unit 2 failed to maintain their lane (unknown which one due to conflicting statements and no witness), resulting in a collision.","The root cause of the crash was a failure by either Unit 1 or Unit 2 to maintain their lane, likely due to driver error. The exact vehicle responsible for the failure is unknown due to conflicting statements and lack of witnesses."
"unit 1 and unit 2 were traveling southbound on us hwy 259, n. eastman rd and in the turning lane in order to turn westbound onto e. hawkins pkwy.  unit 1 came to a stop due to unit 3 moving from the outside lane and into the turning lane in front of unit 1.  unit 1 observed this movement from unit 3 and stopped abruptly and causing unit 2 to strike unit 1 and causing damage to both unit's 1 and 2.  unit 1 and 2 stated unit 3 moved back into the outside lane of travel and continued to travel westbound onto e. hawkins pkwy.","Unit 3 failed to yield to oncoming traffic in the turning lane, causing Unit 1 to stop abruptly, which then led to a collision between Units 1 and 2. This failure was likely due to Unit 3's inattention or failure to check for oncoming traffic while changing lanes."
"unit 1 was towing unit 2. unit 1 was traveling southbound at the 1700 block of sw stallings dr in the inside lane, behind unit 3. unit 3 slowed for stopped traffic ahead. unit 1 failed to control its speed and struck the bd of unit 3 with unit 1's fd, pushing it forward. unit 1 then struck unit 3's bd again, pushing unit 3's fr into unit 4's bl, causing further damage.","Unit 1 failed to control its speed while towing Unit 2 behind Unit 3, which was slowing down for stopped traffic ahead. The root cause is Unit 1's inability to maintain a safe following distance and adjust speed accordingly."
"unit 1 was stopped at a red light at the 100 block of e college st, preparing to turn right. unit 2 was traveling northbound at the 2100 block of north st in the inside lane. unit 1 took a wide right turn and struck unit 2's rfq with unit 1's fl, causing damage.","Unit 1 failed to maintain a safe following distance and properly execute a right turn, resulting in a collision with Unit 2 due to oversteering. The failure was caused by Unit 1's driver not adjusting speed or trajectory to accommodate the wide turn."
unit 1 was traveling westbound on fm 195 at an unsafe speed for the wet roadway conditions. unit 1 hydroplaned causing it to go into the north barrow ditch where it collided with a concrete culvert. the driver of unit 1 stated he was going 35-40 mph but hydroplaned causing him to crash. the driver of unit 1 also stated he was looked in the backseat attempting to get the back middle seat passenger to put of their safety belt.,"The root cause of the crash was excessive speed for the wet roadway conditions, which led to hydroplaning and loss of control. The driver's distraction by checking on a passenger while driving contributed to the unsafe speed."
unit 1 was traveling southbound in the outside lane of 3500 fourth st and was stopped for a red signal light at the intersection of e hawkins pkwy.  unit 2 was stopped directly behind unit 1.  unit 2 made an improper start from a stopped position and struck unit 1.,"Unit 2 failed to properly execute a start from a stopped position, resulting in a loss of control and collision with Unit 1 due to driver error. The root cause was the driver's failure to follow proper procedures for starting from a stationary position."
"unit#1 was traveling south on s first. unit#2 was stopped at a yield sign facing east attempting to turn right out of a parking lot. the driver of unit#2 advised that he thought unit#1 was stopping when he pulled out. the fl of unit#1 struck the rd of unit#2 causing minor damage, no injuries reported at time of report.","The root cause of the crash was a misjudgment by the driver of Unit #2, who failed to yield properly due to an incorrect assumption that Unit #1 was stopping. This failure occurred because the driver of Unit #2 did not adequately assess the situation and relied on an inaccurate inference about Unit #1's intentions."
"driver of unit 2 stated that she was traveling southbound in the inside left turn lane when unit 1 initiated an unsafe left turn directly in front of her from the outside southbound left turn lane. driver of unit 1 claimed he was in the southbound inside left turn lane and attempted to make a u-turn to go north when the impact with unit 2 occurred. following the initial collision, unit 2 veered eastward, crossing the grassy shoulder and impacting bushes adjacent to the cvs parking lot before coming to rest against unit 3, which was parked and unoccupied in the parking lot.driver of unit 1 maintained that he was in the inside left turn lane, denying that he had been positioned in the outside left turn lane. however, during my on-scene investigation, i examined the gouge and tire marks located in the inside left turn lane, which clearly established this as the area of impact. based on my training and experience, and the observed damage to unit 1, which was a direct strike to the left front fender and driver door, it is evident that this collision occurred in the inside left turn lane. had unit 1 actually been in the inside left turn lane as claimed, unit 2 would have had to be traveling against oncoming traffic, resulting in the collision occurring in the inside northbound lane, which was clearly not supported by evidence on scene.after clearing the scene, i visited several nearby businesses to review security cameras for potential coverage of the collision area. no cameras were found to capture this section of the roadway. subsequently, i returned to the scene to reassess the area of impact. approaching from the beginning of the inside left turn lane, i found my path of travel aligned directly with the previously established impact area, supporting the evidence that unit 1 had made an unsafe turn from the outside left turn lane. this unsafe maneuver directly caused the collision by placing unit 1 in unit 2 's path.","Unit 1 failed to properly execute a left turn, making an unsafe maneuver by turning from the outside southbound left turn lane into the inside left turn lane, which directly caused the collision with Unit 2. This failure occurred due to Unit 1's driver misjudging or intentionally entering the wrong lane for the intended turn."
"driver of unit 2 stated that he came to a stop in traffic at a red light when he was suddenly rear-ended by unit 1. driver of unit 2 exited his vehicle and made contact with driver of unit 1. when driver of unit 2 stated that he was going to call the police, driver of unit 1 entered his vehicle and fled the scene. driver of unit 2 followed behind unit 1, while on the phone with police, as unit 1 actively evaded him. driver of unit 2 eventually lost sight of unit 1 in a neighborhood as driver of unit 1 drove recklessly to evade him. driver of unit 2 captured the entire incident on his dashcam. through my investigation, i was able to locate the registered owner of the vehicle, who informed me that her husband was driving the vehicle and had called her after fleeing the scene. i spoke with the driver of unit 1 over the phone, and he admitted to driving the vehicle on the date in question and fleeing the scene. charges pending. investigation continues.","The root cause of the crash was a deliberate act by the driver of unit 1, who intentionally fled the scene after being rear-ended by unit 2. The critical failure was the driver's decision to flee, which was motivated by his attempt to avoid accountability for the collision."
unit  1 was exiting a private drive in the 13900 block of veterans memorial failing to control speed and subsequently struck unit 2 traveling north bound in the 13900 block of veterans memorial.,"Unit 1 failed to control its speed while exiting a private drive, resulting in a loss of control. The driver's failure to slow down was likely due to inadequate attention or distraction upon entering the public road."
"unit 1 was traveling west in the left most lane 4100 southwest drive. unit 2 was traveling west in the center lane 4100 southwest drive.  unit 1 altered it course to the right into the center lane (unit 2's lane) and struck unit 2.  driver unit 1 did not stay on scene and was last seen west bound on southwest drive.  driver unit 1 in violation, failed to alter course with safety.  driver unit 1 was located at a later time and accident was cleared.  report reflects driver 1 and unit 1 informationaoi: approximately 200' w of w 3100 s clack st and approximately 18' s of n curb 4100 southwest drive","The root cause of the crash was Driver Unit 1's failure to alter course with safety, resulting in a collision with Unit 2. This failure occurred due to a driver error, specifically a violation of safe driving practices."
"unit 2 was traveling east at the 2900 block of west ih-2, weslaco, in lane 1. unit 1 was traveling east directly behind unit 2. unit 2 slowed down as she approached the scene of an accident at which point unit 1 failed to control its speed and hit unit 2. unit 1 had damage to the left front quarter from an angular impact. unit 2 had damage to the right back quarter from an angular impact.","Unit 1 failed to maintain a safe following distance, resulting in a loss of control of its speed and subsequent collision with Unit 2. This failure was likely due to Unit 1's driver not reacting promptly to Unit 2's slowing down at the accident scene."
"unit 2 was traveling east through the h-e-b parking lot located at, 1004 n texas blvd. unit 1 was facing north, traveling south in reverse, in the same parking lot. unit 1 backed without safety and hit unit 2. unit 1 had damage to the back end right from a partial contact. unit 2 had damage to the left side from an angular impact.","Unit 1 failed to exercise proper caution when backing up, resulting in a collision with Unit 2 due to inadequate safety measures. The root cause of the crash was Unit 1's failure to properly check its surroundings and maintain situational awareness while reversing."
unit #1 was traveling east at about the 2900 block of west ih2 when vehicle hydroplaned and lost control hitting the concert divider with its right front quarter and bounced off and hit with it's back right quarter causing damage to vehicle.,"The root cause of the crash was a loss of traction due to hydroplaning, which caused unit #1 to lose control. The vehicle's tires failed to maintain contact with the road surface, leading to an uncontrolled skid and subsequent collision with the center divider."
"unit 1 was traveling westbound on union chapel road approaching the stop sign intersection at fm 1209. unit 2 was traveling southbound on fm 1209, approaching union chapel road. the driver of unit 1 failed to yield the right of way from the stop sign on union chapel road and entered the intersection in front of unit 2. unit 1 and unit 2 collided in the intersection of fm 1209 and union chapel road.","The root cause was the failure of Unit 1's driver to yield right-of-way from a stop sign, resulting in an improper entry into the intersection. This occurred because the driver failed to come to a complete stop at the stop sign."
"driver u1 was attempting to make a left turn from a private road onto judson road.  oncoming traffic on southbound judson road was congested so another unknown driver stopped before the private road, in lane number 1, to make a """"gap"""" for driver u1 to turn.  driver u1 began his left turn and cleared lane number 1.  driver u1 failed to clear lane number 2, which had the right of way.   driver of u2 was southbound in lane number 2 and had the right of way.  driver u1 failed to yield the right of way, turning left, causing the listed damage.  fleet3 axon bwc in use.","Driver U1 failed to clear Lane Number 2, which had the right of way, due to a failure to yield by Driver U1 while attempting to make a left turn from a private road onto Judson Road. The root cause was Driver U1's failure to prioritize the oncoming traffic in Lane Number 2 with the right of way over their own attempt to turn."
unit 1 was traveling north bound on i 10 e mile marker 3. unit 1 collided with 9 cone barriers causing a collision and damage.  the incident occurred between interstate 10 and the frontage road exit for n. desert blvd.  unit #1 continued on interstate 10 after the collision.  unit 1 left the scene.  unit #1's driver was subsequently found and placed under arrest for driving while intoxicated 2nd. driver of unit 1 refused to provide a sample of breath therefore a sample of his blood was taken.  unit #1's driver has pending results for blood alcohol levels. (epso rms case number 2024-15387).,"The root cause of the crash was a vehicle operating under the influence of intoxicating substances, specifically driving while intoxicated by a repeat offender. The impaired driver failed to maintain control and collided with cone barriers on I-10."
unit #1(12-fc-2) traveling north on 8400 gulf fwy ser rd failed to control speed and struck unit #2(6-bc-2).unit #2(6-bc-2) also traveling north on 8400 gulf fwy was struck by unit #1(12-fc-2).no injuries.no vehicles towed.driver of unit #1 was cited with fail to control speed.driver of unit #2 was cited with failure to establish financial responsibility and no dl.bwc activated.{{investigator's assignment: eastside}},"The driver of unit #1 failed to control their speed, causing a collision with unit #2, due to likely inattention or distraction. The root cause is the driver's inability to maintain a safe speed for road conditions."
"video available of crash: unit 4 and unit 1/2 were involved in a road rage incident. unit 1/2 made an unsafe lane change from lane number 3 to lane number 1 in front of unit 4. unit 4 attempted to pass unit 1/2 in the number 2 lane but was unable to because of traffic and unit 1/2 driving in lanes number 1 and 2. after passing unit 1/2, unit 4 began braking in front of unit 1/2. unit 3 was in the number 1 lane passing unit 1/2 when unit 1/2 made an unsafe lane change forcing unit 3 onto the shoulder before striking unit 3 causing it to spin. unit 3 hit the front left qtr panel of unit 4, causing unit 4 to hit the outside wall. unit 3 came to rest in the number 2 lane. unit 4 crossed the highway and struck unit 3 again. unit 1/2 continued sb without stopping.","Unit 1/2 made an unsafe lane change, forcing Unit 3 onto the shoulder, which led to a collision with Unit 3. This initial collision caused Unit 4 to lose control and strike the outside wall."
"unit 2 was standing in the inside lane of the exit/off ramp at the 4700 block of s. fort hood st., facing north, as it waited for a green light. unit 1 was behind unit 2 at the same location and failed to control its speed, colliding with the front end onto the back end of unit 2. no injuries were reported.","Unit 1's failure to control its speed caused the collision. Unit 1's excessive speed led to a loss of control, resulting in a rear-end impact with Unit 2."
unit one was facing east on a private drive at the 1300 block  e. stan schlueter lp. unit two was traveling north at the 300 block of saddle ridge dr. unit one failed to yield the right of way to unit two as it attempted a left turn onto saddle ridge dr. from the private drive. unit one struck the left panel (back door) of unit two with its front right corner. the operator of unit two reported minor injuries.,"Unit one failed to yield the right of way, attempting a left turn without yielding to oncoming traffic from Saddle Ridge Dr., resulting in a collision with Unit two's left panel. The failure to yield was likely due to Unit one's operator not properly assessing or respecting the oncoming traffic."
unit 1 was traveling northbound at the 1500 block of s first st in lane 2. unit 2 was traveling northbound at the 1500 block of s first st in lane 2. unit 1 changed into lane 1 and hit the driver side mirror of unit 2. unit 1 continued northbound on s first st.,"Unit 1 failed to maintain a safe following distance or yield to another vehicle, resulting in a collision with Unit 2's driver-side mirror when it changed lanes without checking its blind spot. This failure occurred because Unit 1 did not exercise adequate control and attention while navigating the lane change."
"unit 2 was stopped facing eastbound in the center turn lane on the 3000 block of west stan schlueter loop, preparing to turn northbound onto the 4600 block of bowles drive. unit 1 was heading eastbound in the outside lane of the 3000 block of west stan schlueter loop. unit 1 attempted a faulty evasive action, striking sideswiping unit 2 when trying to avoid a tractor-trailer possibly entering unit 1's lane of travel. it was also advised unit 2 may have failed to be inside the marked lane.","Unit 1 attempted an evasive maneuver that resulted in a sideswipe collision with Unit 2, which was stopped in the center turn lane, due to Unit 1's attempt to avoid a tractor-trailer possibly entering its lane of travel. The root cause appears to be Unit 1's faulty evasive action, which was likely triggered by a perceived threat from the tractor-trailer."
"unit 1 was turning nb onto the 3200 blk of fourth st from a private drive. unit 2 was parked and unoccupied in a private parking lot at 3312 fourth st. unit 1 had impaired visibility due to the sun and pulled out into the roadway in front of a moving vehicle. unit 1 made a faulty evasive manuever, left the roadway and made contact with a sign pole and unit 2, causing damage to the sign pole and both units.witness: stacy montgomery 903-780-9587","Unit 1 failed to maintain visibility due to sun glare and made a faulty evasive maneuver while attempting to avoid another vehicle. This resulted in loss of control, leaving the roadway, and collision with a sign pole and unit 2."
"unit 2 was traveling eastbound on sh 199. unit 1 was traveling southbound on fm 2210 and approached a stop sign at the intersection. the driver of unit 1 did not adequately clear the intersection and failed to yield the right of way to unit 2 and crossed in front of unit 2. the left front quarter panel of unit 2 struck the right front quarter panel of unit 1. unit 1 and unit 2 spun after colliding. unit 1 and unit 2 came to rest upright, immobile facing west. no further incident.","The driver of Unit 1 failed to yield the right of way to Unit 2 by not adequately clearing the intersection, resulting in a collision with Unit 2's left front quarter panel. The failure to yield was likely due to inadequate attention or distraction while approaching the stop sign."
"unit 2 was traveling north on ih 44 in the left lane, passing another vehicle. unit 1 was traveling north on ih 44 in the left lane behind unit 2. the driver of unit 1 failed to control his speed and collided with the rear of unit 2. the driver of unit 1 had an open mike's harder lemonade and admitted to drinking some of it while he was driving. after the collision, unit 1 and unit 2 drove to a rest area off of the road and came to a stop.","The root cause of the crash was driver impairment due to consumption of alcohol, which led to failure to control speed. The driver's decision to drink while driving resulted in loss of ability to safely operate the vehicle."
unit 1 was traveling south on sh 79. a deer ran onto the roadway from the west barrow ditch and struck the front left of unit 1. unit 1 came to rest facing southwest in the lane of traffic and was unable to move.,"A deer entered the road from the west barrow ditch, striking the front left of Unit 1, causing it to lose control and come to rest in the lane of traffic. The failure of Unit 1's ability to avoid or mitigate the collision with the deer was due to its inability to stop or maneuver in time."
unit #1 and unit #2 were both stopped at the intersection of friendship lane and state highway 16 s. unit #1 observed vehicles in the left turning lane move forward and let off of the brakes striking unit #2 in the rear. both units exited the road way when safe to do so.,"The root cause was a failure of drivers in the left turning lane to maintain a safe following distance, allowing them to strike Unit #2 in the rear. This occurred because the drivers were likely distracted or failed to notice Unit #2's presence."
"unit #1 driver stated that he was traveling southbound on limestone hill drive at normal speed.  unit #1 driver stated that when his cell phone rang, he looked down looking for his phone.  as a result, unit #1 driver struck unit #2 which was legally parked on public street and unattended.  unit #1 driver admitted for causing the accident.  unit #1 driver further stated that he was distracted by his cell phone ringing when he caused the accident.registered owner of unit #2 stated that she was awakened by the loud crashing noise outside.  when registered owner of unit #2 stepped outside through front door, she discovered that unit #1 had struck unit #2 (parked and unattended) on public street.","The root cause of the crash was the driver's distraction due to his cell phone ringing, which caused him to look away from the road. The failure was the driver's inability to maintain attention on the driving task while being distracted by his phone."
unit #2 was stopped at the 1000 block of n. border ave. waiting for her turn to enter west ih2 frontage rd. unit #1 was behind unit #2 and failing to control speed striking unit #2 on it's back left with it's front right causing damage to both vehicles.,"Unit #1 failed to control its speed, resulting in a collision with Unit #2 due to excessive speed. The root cause of the failure was likely an error in judgment or decision-making by the driver of Unit #1."
unit # 1 was traveling northbound on interstate 45 near milemarker 163 when unit # 1 failed to maintain a safe following distance when unit # 2 utilized their vehicle's equipped braking system. unit # 1 struck the back left bumper panel of unit # 1 causing minimul damage. unit # 1 sustained minor damage to the front right hood of the vehicle.,"Unit #1 failed to maintain a safe following distance, resulting in a collision with Unit #2 after it utilized its braking system. The root cause was Unit #1's inadequate following distance."
"unit 1 stated they were traveling eastbound on i30 in lane 1. unit 1 said that traffic started to slow down. as he stopped unit 2 collides with them from the rear. unit 2 stated that traffic began to slow down as he was traveling eastbound on i30 and that he did not stop in time, causing the collision.",Unit 2 failed to stop in a timely manner due to inadequate reaction time while following too closely behind Unit 1. This failure occurred because Unit 2 did not leave sufficient space between vehicles to allow for adequate stopping distance when traffic slowed down.
"unit #1 was north bound on settlers glenn dr turning left (west) onto old settlers blvd.â  unit #2 was west bound on old settlers blvd.â â the driver of unit #1 stated that she stopped at the stop sign and saw unit #2 but thought that she had time to pull out and turn left, unit #1 collided with unit #2.â â the driver of unit #2 stated thar he was west bound when unit #1 pulled out from the stop sing and collided with his vehicle.â  the driver of unit #2 stated that he has video of the collision from a passer by and will make this video available if needed for the investigation.â â ","The root cause was a failure to yield, as both drivers disagreed on who had right-of-way at the intersection. Unit #1's driver misjudged the time it took to safely complete the left turn, leading to the collision."
the driver of unit 1 was crossing over loop 1604 when she failed to give the right of way for unit 2 who was traveling north on loop 1604. as a result unit 1 struck unit 2.       both parties transported to northeast methodist hospital by acadian medical care to be treated for minor injuries.,"The driver of Unit 1 failed to yield right-of-way, causing the collision with Unit 2 traveling on Loop 1604. This failure was due to a lack of attention or awareness of the other vehicle's presence."
"unit 2 was traveling west bound on sh 201 and slowed down to merge into the left turn lane in order to turn onto east campus drive. unit 1 was traveling east bound on sh 201 and proceeded through the intersection of sh 201 and east campus drive, where they disregarded the traffic control signal and were struck by unit 1. unit 2 came to a stop in the east bound lane of sh 201 with front end damage while unit 1 spun and went down the embankment suffering front left and left side damage. unit 2 driver informed me that he had a green light when making the turn which, while unit 1 driver advised that she was unsure what color the light was when she went through the intersection. their was a witness who was also making the turn onto east campus drive from 201 was on the inside turning lane next to unit 2 who confirmed that the light was green when the driver of unit 2 made the turn. both drivers from unit 1 and unit 2 refused transport and both units were towed away.","Unit 1 failed to obey a traffic control signal, disregarding its red indication, which resulted in a collision with Unit 2 that was lawfully proceeding through the intersection on a green light. The root cause appears to be Unit 1's failure to comply with traffic control instructions."
unit 1 disregarded the red light at the intersection of of w. richey rd. and bammel n. houston rd. and subsequently struck unit 2.,"Unit 1 failed to comply with a traffic control device (red light) due to driver error or inattention, resulting in a loss of situational awareness and failure to stop at the intersection."
"unit 2 was traveling westbound in the 1800 block of west moore avenue (us highway 80) in the right lane. unit 1 had stopped at the stop sign in the 100 block sam walton way and proceeded to enter the intersection to make a left turn. unit 1 failed to yield the right of way and collided with unit 2. witness: theodore preston young, (214) 952-3905.","Unit 1 failed to yield the right of way while making a left turn at an intersection, colliding with Unit 2 in the adjacent lane. The failure was due to Unit 1's failure to comply with traffic laws and regulations governing intersections."
"unit 1, towing unit 2, was westbound on interstate highway 20 near mile marker 104 in the outside lane. unit 3, towing unit 4, was westbound on interstate highway 20 near mile marker 104 in the outside lane. unit 5, towing unit 6, was westbound on interstate highway 20 near mile marker 104 in the inside lane. unit 5 was identified by a dashboard camera on unit 1 as a white chevrolet silverado hauling a black trailer. unit 5, towing unit 6, failed to secure a load on unit 6. the unsecured load fell onto the roadway into the path of unit 1, towing unit 2. unit 1, towing unit 2, came to a sudden and abrupt stop, partially due to an automated safety feature. unit 3 was following behind unit 2 too closely. unit 3 would strike unit 2's rear left corner with unit 3's front right side. unit 3, upon striking unit 2, would have a blowout of its front right tire, causing unit 3, towing unit 4, to veer to its right and strike unit 1 on its left side with unit 3's right front corner. unit 3's passenger was pronounced deceased on scene at 11:40 a.m. unit 1 and 3 drivers were transported to odessa medical center to receive treatment for injuries.","Unit 5, towing unit 6, failed to secure a load on unit 6, causing it to fall onto the roadway and strike unit 1, which then triggered a chain reaction of events leading to the collision with unit 3. The failure to secure the load was likely due to driver error or inattention."
unit 1 traveling wb in the inside lane of the 3100 blk of e. university blvd.  unit 2 traveling wb in the outside lane of the 3100 blk of e. university blvd.unit 1 changed lanes when unsafe from the inside lane to the outside; causing unit 1's rfq to sideswipe unit 2's lp.,Unit 1's failure to ensure it was safe to change lanes caused its right front quarter panel to collide with Unit 2's left rear bumper. This occurred because Unit 1 changed lanes when it was not safe to do so.
"unit 2 is a fully marked harris county constable office, precinct 2 toll road patrol vehicle that had stopped a violator near the off ramp of the 9500 block of the s. sam houston tollway, east.  the original violator stopped in the gore area for the off ramp.  unit 2 was stopped in lane 4 for safety and had all emergency lights activated.  the driver of unit 1 was traveling eastbound on the s. sam houston tollway, in lane four and failed to control speed as well as disregarded certain vehicles and rear-ended unit 2.  the deputy had minor injuries due to the crash and was transported to southeast memorial hospital.  the driver of unit 1 was arrested for dwi.","The root cause of the crash was the failure of Unit 1's driver to control their speed, which led to a rear-end collision with Unit 2. This failure occurred due to the driver's disregard for other vehicles on the road, likely as a result of impairment from driving under the influence (DWI)."
"unit 1 was traveling westbound on fm 521 when a deer ran from the south side of the roadway, across both lanes of traffic, causing u1 fr to strike the deer. unit 1 driver stated she did not see the deer coming due to oncoming traffic.","The root cause was the failure of the driver's visual attention to detect the deer in time, which was due to being distracted by oncoming traffic. The vehicle's forward collision avoidance system (if equipped) or the driver's own reaction time failed to prevent the collision with the deer."
the unit 2 driver was traveling westbound at 100 block of navasota dr. unit 1 driver was facing northwest parked at 163 navasota dr (private dr). the unit 1 driver attempted to turn left onto navasota dr and failed to yield right of way while exiting the private drive resulting in the front right of unit 1 impacting the left side of unit 2. both vehicles came to rest on the roadway.,"The Unit 1 driver failed to yield right of way while exiting a private driveway, colliding with the Unit 2 vehicle traveling westbound on Navasota Dr. The failure to yield was due to the Unit 1 driver's attempt to turn left onto Navasota Dr without properly assessing traffic conditions."
"the unit 1 driver was traveling south on southshore dr and approaching the intersection with state highway 21. the unit 2 driver was traveling west on state highway 21. upon arriving at the intersection, the unit 1 driver failed to yield right of way at the stop sign and attempted to turn right onto sh 21 resulting in the front right of unit 2 impacting the left passenger side of unit 1.","The root cause was the Unit 1 driver's failure to obey a basic traffic rule, yielding right of way at a stop sign. This failure occurred because the driver did not properly execute their responsibility to yield to oncoming traffic."
the unit 1 driver was facing southbound on state highway 71 frontage rd at the yield intersection of state highway 71 frontage and union chapel rd. the unit 2 driver was traveling westbound on union chapel rd approaching the intersection at state highway 71 frontage. the unit 3 driver was traveling eastbound on union chapel rd approaching the intersection at state highway 71 frontage. the unit 1 driver failed to yield the right of way - yield sign resulting in the front right of unit 1 impacting the front right quarter panel area of unit 2. the impact sent unit 2 into the oncoming lane resulting in the front left quarter panel area of unit 2 impacting the front left quarter panel area of unit 3.,"The root cause was the Unit 1 driver's failure to yield right-of-way at a designated yield intersection. This failure resulted from the driver not complying with the traffic control device (yield sign), leading to a collision with Unit 2, which then collided with Unit 3."
"all units were traveling at the 1000 block of the w sam houston pkwy n. unit 1 occupied lane one, unit 3 occupied lane two. unit 2 was being pulled by unit 1. unit 1 change lane when unsafe striking unit 3.","Unit 1 changed lanes unsafely, failing to yield to Unit 3 in its adjacent lane, due to a lapse in attention or judgment while maneuvering. The failure of Unit 1's driver to maintain situational awareness and control led to the collision with Unit 3."
unit 1 and unit 2 were on la salle ave when unit 1 made a unsafe lane change and hit unit 2 with there back left quarter panel on unit 2's front right. no vehicles were towed and no occupants were transported.,"Unit 1 failed to execute a safe lane change, resulting in a collision with Unit 2 due to inadequate attention to the road environment."
unit #2 was traveling south on ih-35 in the left lane.  unit #1 was traveling behind unit #2 in the left lane. unit #1 driver failed to control his speed and struck the back of unit #2.,"The root cause of the crash was the failure of Unit #1's driver to control their speed, which led to a loss of situational awareness and inability to maintain a safe following distance. The driver's failure to control speed was likely due to inattention or distraction."
"unit 1 was traveling westbound on fm-428 """"w sherman dr"""" in the 1600 block. unit 2 was traveling eastbound on fm-428 """"w sherman dr in the 1600 block. unit 1 swerved westbound into the eastbound lane, crashing into unit 2, causing both units to spin into the opposing lanes. the spouse of unit 1 stated the driver of unit 1 had been working 13 hours prior to the crash and was fatigued.unit 1 - 972-515-0809unit 2 - 714-876-4204","The root cause of the crash was a driver's fatigue, which led to a loss of control of Unit 1. The driver's prolonged work hours (13 hours) prior to the crash contributed to their fatigue, causing them to swerve into oncoming traffic."
"unit 2 was legally parked in the parking lot of 5190 state highway 78 (kroger). while the owner was inside the store, unit 1 struck the front passenger side of unit 2, causing damage to the front bumper. there was no suspect or suspect vehicle information available.","Unit 1 failed to control speed and maintain a safe distance from Unit 2, which was legally parked, resulting in a collision due to driver error."
"according to both drivers, unit 1 was stopped facing east at the stop sign at oak creek ct. at the intersection with the southbound us hwy 281 n frontage road. unit 2 was traveling southbound in the right lane of the us hwy 281 n frontage road approaching the intersection of oak creek ct. the driver of unit 1 turned wide right into the left lane as unit 2 was approaching from the north. the driver of unit 1 stated: """"i was pulling out, and i didn't want to get in front of him because i go so slow, so i got into this lane (pointing at the left lane) because the car behind him was going a lot slower."""" the driver of unit 2 stated that when unit 1 pulled in front of him, unit 1 had not fully entered into the left lane as he was passing on the right, so he attempted to take evasive action by turning to the right towards the sidewalk. at this time, unit 2's lane-keep assist automation feature turned the vehicle back to the left to re-center itself in the right lane, then crashed with unit 1, causing superficial damage to unit 1 and minor damage to unit 2.unit 1 was equipped with a commercial video recording system. unit 2 was equipped with a built-in camera system. both drivers were asked to submit video to the investigating officer but had not done so at the time of this report. note: the us hwy 281 n frontage road in this area is also known as san pedro ave.","The driver of unit 1 failed to fully yield and enter the left lane, instead turning into it partially while attempting to avoid being in front of another vehicle. The driver's actions led to a collision with unit 2, which was trying to take evasive action after unit 1 pulled into its path."
unit 1 and unit 2 were traveling sb on 7800 block ih 35 n when collided. unit 1 was in  (left turn only/lane 3) and unit 2 was in g (lane 2/ left turn/straight) turning into 4600 block walzem rd. d1 stated that he thought he could go straight and collided with unit 2 when d2 was trying to make a left turn into 4600 block walzem road.no injuries were reported during this incident. unit 1 was towed to growdon. unit 2 is driveable.  both drivers provided a valid driver license and insurance at the moment.,"Unit 1's failure to yield to oncoming traffic resulted in a collision with Unit 2, who was attempting a left turn into Walzem Rd. The root cause of the crash was Unit 1's decision to proceed straight when he thought it was safe, despite having the right-of-way for a left turn."
"unit 1 was sitting in a private driveway, waiting to merge onto fm 2354, while unit 2 was traveling south on fm 2354. unit 1 failed to yield the right of way on a private driveway, striking unit 2. unit 1 came to rest in its driveway partly on fm 2354 with damage to the front right immobile and upright facing east. unit 2 came to rest upright immobile facing south on fm 2354 with damage to the right side.","Unit 1 failed to yield the right of way, striking Unit 2 as it traveled on FM 2354, due to a failure to comply with traffic laws and regulations. The root cause is Unit 1's failure to obey traffic rules governing private driveways."
"unit 1 was traveling northbound on fm 563 near cain rd. unit 2 was also traveling northbound on fm 563 near cain rd behind unit 1. witnesses stated unit 2 tried to pass unit 1 by driving on the outside shoulder, striking unit 1 in the back right, and proceeding to flee the scene, and not stopping to help the driver of unit 1. unit 1 came to rest upright mobile with damage to the back right facing west in the southbound lane shoulder.","Unit 2 failed to maintain control while attempting to pass Unit 1 on the outside shoulder, resulting in a collision due to excessive speed or aggressive driving. The driver of Unit 2 also failed to stop and assist after causing the crash, indicating a lack of regard for safety and human life."
